,year,name,gCNN_d18o
284,1972,ball_v,30.362
285,1972,ortega_jam,23.566
286,1972,rodcat_utu,25.018
287,1972,rodcat_gua,28.715
288,1972,rodcat_irr,30.199
289,1972,rodcat_fsa,26.746
290,1973,baker_ecu,23.565
291,1973,brie_sel,22.556
292,1973,jenkins,23.038
293,1973,ball_m,23.038
294,1973,ball_v,30.362
295,1973,ortega_jam,23.566
296,1973,rodcat_utu,25.018
297,1973,rodcat_gua,28.715
298,1973,rodcat_irr,30.199
299,1973,rodcat_fsa,26.746
300,1974,baker_ecu,23.565
301,1974,brie_sel,22.556
302,1974,jenkins,23.038
303,1974,ball_m,23.038
304,1974,ball_v,30.362
305,1974,ortega_jam,23.566
306,1974,rodcat_utu,25.018
307,1974,rodcat_gua,28.715
308,1974,rodcat_irr,30.199
309,1974,rodcat_fsa,26.746
310,1975,baker_ecu,23.565
311,1975,brie_sel,22.556
312,1975,jenkins,23.038
313,1975,ball_m,23.038
314,1975,ball_v,30.362
315,1975,ortega_jam,23.566
316,1975,rodcat_utu,25.018
317,1975,rodcat_gua,28.715
318,1975,rodcat_irr,30.199
319,1975,rodcat_fsa,26.746
320,1976,baker_ecu,23.565
321,1976,brie_sel,22.556
322,1976,jenkins,23.038
323,1976,ball_m,23.038
324,1976,ball_v,30.362
325,1976,ortega_jam,23.566
326,1976,rodcat_utu,25.018
327,1976,rodcat_gua,28.715
328,1976,rodcat_irr,30.199
329,1976,rodcat_fsa,26.746
330,1977,baker_ecu,23.565
331,1977,brie_sel,22.556
332,1977,jenkins,23.038
333,1977,ball_m,23.038
334,1977,ball_v,30.362
335,1977,ortega_jam,23.566
336,1977,rodcat_utu,25.018
337,1977,rodcat_gua,28.715
338,1977,rodcat_irr,30.199
339,1977,rodcat_fsa,26.746
340,1978,baker_ecu,23.565
341,1978,brie_sel,22.556
342,1978,jenkins,23.038
343,1978,ball_m,23.038
344,1978,ball_v,30.362
345,1978,ortega_jam,23.566
346,1978,rodcat_utu,25.018
347,1978,rodcat_gua,28.715
348,1978,rodcat_irr,30.199
349,1978,rodcat_fsa,26.746
350,1979,baker_ecu,23.565
351,1979,brie_sel,22.556
352,1979,jenkins,23.038
